md_ft,inclination_deg,azimuth_deg,tvd_ft,tvd_ss_ft,dx_east_ft,dy_north_ft,dls_deg_100ft
6800.0,32.94,178.81,6683.46,6555.46,17.99,-586.11,1.74
6900.0,34.59,177.6,6765.78,6637.78,20.37,-642.83,1.78
7000.0,36.24,179.03,6846.44,6718.44,21.37,-701.93,1.84
7100.0,37.88,177.18,6925.37,6797.37,24.39,-763.26,1.98
7200.0,39.53,178.88,7002.5,6874.5,25.64,-826.89,1.96
7300.0,41.18,177.33,7077.77,6949.77,28.7,-892.66,1.93
7400.0,42.82,177.98,7151.11,7023.11,31.09,-960.59,1.7
7500.0,44.47,178.7,7222.47,7094.47,32.68,-1030.63,1.72
7600.0,46.12,177.68,7291.79,7163.79,35.59,-1102.64,1.8
7700.0,47.76,177.61,7359.01,7231.01,38.68,-1176.62,1.65
7800.0,49.41,176.99,7424.07,7296.07,42.67,-1252.46,1.72
7900.0,51.06,178.85,7486.92,7358.92,44.23,-1330.22,2.18
8000.0,52.71,177.09,7547.51,7419.51,48.27,-1409.67,2.15
8100.0,54.35,178.43,7605.79,7477.79,50.49,-1490.9,1.97
8200.0,56.0,177.45,7661.71,7533.71,54.18,-1573.72,1.84
8300.0,57.65,178.39,7715.22,7587.22,56.55,-1658.17,1.83
8400.0,59.29,177.85,7766.29,7638.29,59.78,-1744.09,1.71
8500.0,60.94,178.38,7814.86,7686.86,62.25,-1831.46,1.71
8600.0,62.59,178.05,7860.9,7732.9,65.27,-1920.18,1.67
8700.0,64.24,177.09,7904.36,7776.36,69.84,-2010.13,1.85
8800.0,65.88,177.03,7945.23,7817.23,74.57,-2101.28,1.64
8900.0,67.53,177.13,7983.45,7855.45,79.2,-2193.57,1.65
9000.0,69.18,177.03,8019.0,7891.0,84.04,-2286.91,1.65
9100.0,70.82,177.62,8051.84,7923.84,87.96,-2381.28,1.73
9200.0,72.47,179.13,8081.96,7953.96,89.4,-2476.62,2.19
9300.0,74.12,178.47,8109.33,7981.33,91.98,-2572.77,1.77
9400.0,75.76,177.4,8133.92,8005.92,96.37,-2669.6,1.94
9500.0,77.41,177.86,8155.71,8027.71,100.02,-2767.13,1.71
9600.0,79.06,177.76,8174.69,8046.69,103.86,-2865.24,1.65
9700.0,80.71,178.38,8190.84,8062.84,106.65,-2963.88,1.76
9800.0,82.35,178.0,8204.15,8076.15,110.1,-3062.94,1.68
9900.0,84.0,177.29,8214.6,8086.6,114.8,-3162.28,1.79
10000.0,85.65,177.97,8222.19,8094.19,118.33,-3261.93,1.78
10100.0,87.29,176.85,8226.91,8098.91,123.82,-3361.66,1.99
10200.0,88.2,177.05,8230.06,8102.06,128.96,-3461.48,0.93
10300.0,88.2,177.78,8233.2,8105.2,132.84,-3561.36,0.73
10400.0,88.2,177.24,8236.34,8108.34,137.66,-3661.19,0.54
10500.0,88.2,177.14,8239.48,8111.48,142.64,-3761.02,0.1
10600.0,88.2,177.85,8242.62,8114.62,146.39,-3860.9,0.71
10700.0,88.2,178.74,8245.76,8117.76,148.58,-3960.82,0.89
10800.0,88.2,176.87,8248.9,8120.9,154.04,-4060.63,1.87
10900.0,88.2,179.04,8252.04,8124.04,155.71,-4160.56,2.17
11000.0,88.2,176.85,8255.18,8127.18,161.2,-4260.36,2.19
11100.0,88.2,177.02,8258.33,8130.33,166.39,-4360.18,0.17
11200.0,88.2,178.27,8261.47,8133.47,169.41,-4460.08,1.25
11300.0,88.2,178.71,8264.61,8136.61,171.65,-4560.01,0.44
11400.0,88.2,178.66,8267.75,8139.75,173.99,-4659.93,0.05
11500.0,88.2,178.63,8270.89,8142.89,176.39,-4759.85,0.03
11600.0,88.2,178.16,8274.03,8146.03,179.6,-4859.75,0.47
11700.0,88.2,178.34,8277.17,8149.17,182.49,-4959.66,0.18
11800.0,88.2,178.48,8280.31,8152.31,185.14,-5059.58,0.14
11900.0,88.2,176.92,8283.45,8155.45,190.5,-5159.38,1.56
12000.0,88.2,179.15,8286.6,8158.6,191.98,-5259.32,2.23
12100.0,88.2,179.0,8289.74,8161.74,193.73,-5359.26,0.15
12200.0,88.2,177.71,8292.88,8164.88,197.73,-5459.13,1.29
12300.0,88.2,178.02,8296.02,8168.02,201.18,-5559.02,0.31
12400.0,88.2,178.17,8299.16,8171.16,204.37,-5658.92,0.15
